,0,1
0,"[1.0, 2.0, 3.0, 4.546627250739049, 6.516862447896931]","[5.621834061135371, 5.698589894242068, 5.6154465004022525, 5.718355280838484, 6.112542629784009]"
1,"[1.0, 2.0, 3.0, 4.563504641159158, 6.459341224909933]","[5.449642267473858, 5.493466564181399, 5.513698630136986, 5.697985057731492, 6.151312403499743]"
2,"[1.3418262971917425, 3.5732663947285848, 5.0, 6.432246210381258]","[5.542867770132044, 5.675870724819579, 5.9424424424424425, 6.258153422140561]"
3,"[1.1102226720647774, 3.0, 4.448652585579024, 6.559877175025589]","[5.76255060728745, 5.52286282306163, 5.542607428987618, 6.172978505629478]"
