,0,1
0,"[1.0, 2.0, 3.0, 4.0, 5.703851261620186]","[1.2431165787932044, 1.2050067658998647, 1.236916548797737, 1.262542620555285, 1.2064124454562701]"
1,"[1.0, 2.0, 3.0, 4.6147137745974955, 6.4044002095337875]","[1.3941018766756033, 1.2832980972515857, 1.315489749430524, 1.2562611806797854, 1.1707700366684128]"
2,"[1.0, 2.0, 3.0, 4.5563764291996485, 6.335883514313919]","[1.376595744680851, 1.282392026578073, 1.2840396753832282, 1.234476693051891, 1.1695459032576505]"
3,"[1.0, 2.0, 3.0, 4.576991150442478, 6.442910447761194]","[1.4895833333333333, 1.3613861386138615, 1.3575615474794842, 1.2619469026548673, 1.128544776119403]"
