,0
"1,2",6892
"1,4",9554
"1,5",8028
"1,6",8512
"1,7",6460
"1,8",7187
"1,9",6853
"2,4",6298
"4,5",7822
"4,6",8260
"4,7",6040
"4,8",6963
"4,9",6622
"5,6",7202
"5,8",6197
"6,8",6425
"6,9",6298
