attribute,count,mean,std,min,25%,50%,75%,max
Num1,12364.0,26.822482273802976,18.724903322592002,0.0,10.0,25.0,40.0,100.0
Num2a,9642.0,24.108253647168638,11.76155794890163,0.0,17.0,25.0,30.0,50.0
Num2b,2694.0,21.512569759959167,8.445003093429069,0.0,20.0,20.0,23.0,70.0
Num3,1319.0,29.173337665619407,40.19580213976803,0.0,5.0,20.0,50.0,1125.0
