,0,1
0,"[1.0, 2.0, 3.0, 4.546017222820237, 6.515553869499241]","[1.3122448979591836, 1.2580834803057026, 1.239903069466882, 1.2481162540365984, 1.1862670713201822]"
1,"[1.0, 2.0, 3.0, 4.563236627379873, 6.459041731066461]","[1.3436293436293436, 1.3097072419106317, 1.3089244851258581, 1.2445602901178603, 1.1828954147346729]"
2,"[1.0, 2.0, 3.0, 4.0, 5.747905195116112]","[1.318503825446302, 1.2666303162486368, 1.255711127487104, 1.2489035087719298, 1.193200861862581]"
3,"[1.0, 2.0, 3.0, 4.447848285922684, 6.559304703476482]","[1.2577190383958072, 1.2196691176470589, 1.2774451097804391, 1.274252370532458, 1.2075664621676891]"
